,userName,score,at,content
102,tya astria,5,2022-10-11 18:22:03,Awalnya coba2 ajja langganan 1 bulan... eh jdi ketagihan dech skrng
103,Susanto Alang,1,2022-10-11 17:29:38,Saya sudah lama berhenti berlangganan tapi tiba-tiba ada notifikasi pengambilan dana oleh netflix
104,VEPY Citra novita,1,2022-10-11 14:38:01,Aplikasi nya jelek sekali masa ngak bisa masuk kan sudah login
105,yesi gusmaini,1,2022-10-11 13:20:28,"Netflixnya g bs d akses dari vivo v21, tiba2 banget 3hari belakangan ini"
106,Vaxaro_nothing,3,2022-10-11 09:25:58,subtitlenya tolong supaya bisa dikasih shadowlah biar bisa kebaja atau bikin fitur setting subtitile
107,Meyfia Lesya,3,2022-10-11 08:21:47,Sayang sekali netflix diindonesia dibedakan dgn di west country akhirnya beberapa movie ga bisa di tonton. Yg asia kebanyakan korea
108,Khusni My sarina,1,2022-10-11 07:57:34,Kirain nonton gratis ternyata harus bayar dulu gk jadi download sih Ribet juga daftar nya😏
109,Dian Tyara,5,2022-10-11 07:13:06,Bagus keren dan luar biasa!
110,Yannas Muhdar,1,2022-10-10 23:13:11,"Kurang bagus, soalnya harus langganan dulu baru boleh masuk"
111,Moon Light,3,2022-10-10 21:21:13,"Appnya bagus sih banyak film-film ada gamenya... tapi subtitlenya 😭 kalo nonton film horror mungkin 100% bisa keliatan tapi kalo nonton yang lain tidak bisa di liat apa lagi waktu scene awan-awan, scene yang terang-terang subtitlenya auto invisible mode 😅 di kasih pengaturan untuk subtitlenya kek kalo netflix yang di inggris ada pengaturannya masa yang indo tidak ada"
112,Andi Mustofa,1,2022-10-10 13:38:20,"metode pembayaran apapun semua nggak bisa digunakan, notifikasinya selalu terjadi kesalahan"
113,Ulli Nuha,3,2022-10-10 13:14:29,"Koleksi filmnya gak lengkap,,,the Conjuring tidak ada,,, koleksi film Bollywoodnya juga sedikit,,, perbanyak lagi koleksinya"
114,Jae Jae,1,2022-10-10 05:47:10,Udah capek-capek download tapi gak bisa masuk assuuuu
115,Susilowati Sanjaya,1,2022-10-10 03:42:42,"Jangan tautkan Netflix ke dana atau pembayaran otomatis manapun, saldo sy tersedot di dana pdhal sy tdk melakukan transaksi pembayaran Netflix!! Jgn di download!!!"
116,Tony Tang,5,2022-10-10 02:29:42,"mantap Netflix.Semoga film,drama sama animenya dilengkapin lagi ya biar makin bagus kedepannya"
117,incess than,1,2022-10-09 11:22:21,"Ribet pembayarannya..aku awalnya pake gopay,,trus aku ubah pembayaran pake telkomsel,,eh waktu mau pakai gopay lagi gak bisa,katanya karna pernah ubah metode pembayaran dan di suruh pake akun gopay yang lainnya...kan sama2 bayar🤣😂kocaaak emang😂🤣 ribet seribet2nya"
118,Given Gracillys Haslim 7C,5,2022-10-08 23:40:02,"Netflix bagus baget .cuma pada masalahin "" gak ada film ini lho...."""
119,niko afit,1,2022-10-08 17:07:53,Bisa baik dikit gak sih masak pemgguna baru langsung di suruh langganan sama gak bisa nonton lagi
120,Ibnu M Antoni,5,2022-10-08 11:18:20,"yang kasih rate 1 siapa? dan kenapa ya? padahal ini bagus banget sambungin ketv, dan tanpa ada masalah sedikit pun"
121,CATHRIEN Nauli,5,2022-10-08 04:47:13,"Bagus bet nih, gk ada iklan."
122,Muhammad Intan Raja,2,2022-10-08 00:24:10,"Kecewa setelah di update harus mulai lg keanggotaan, padahal udh download banyak"
123,rudi diyo,1,2022-10-07 15:31:39,ini gimna cara masuknya hampir berhasil teruss padahal udah masukin gmail ikutin semua petunjuk tetep aja gak masuk masukk
124,Heru Prasetyo,4,2022-10-07 14:26:06,Agak ribet untuk rubah settingan warna subtitle. Tolong dibuatkan menu yg lebih gampang baru kasih bintang 5
125,ayu tunjung,1,2022-10-07 14:02:28,ngelag dari sore ampe malem udah pake wifi udah ganti sellular data.. tetep aja down
126,Agatta Destiani,5,2022-10-07 13:54:34,"Baguss banget semua drama, flm tuh lengkap semuaa, oiya tolong yaa Drama Jepang nya atau flm nya ditambahkan lagi, saya pengen nonton drama Toru Nakamura, tapi disitu hanya muncul 1 drama aja, tolong di perbarui lagi ya Versi Jepang nya biar lebih banyak 🙏🇯🇵 semangat 🔛🔥"
127,Odink SNDA,2,2022-10-06 12:53:41,Aplikasi netflik bawaan hp yang berlokasi di daerah timur tengah menggunankan bahasa arab dan untuk dan saya berulang kali mencari untuk mengganti bahasa tidak menemukan tolong diperbaiki karna ridak semua bisa tulisan arab
128,Salsa Billa,1,2022-10-06 11:06:35,Udah langganan tpi gabisa dibuka Kan percuma
129,Sholeh Saputra,1,2022-10-05 14:44:53,"kenapa filmnya ga lengkap, seperti no body, expendables aja yang pertama ga ada"
130,Hadrianus Rosmawardi Dian Lestari,5,2022-10-05 12:32:53,"Filmnya banyak yang update. Jadi tambah seru aja kalo mw nonton, banyak banget pilihannya 👍😄"
131,Darin Fadhilah,5,2022-10-05 07:09:52,"Dear Netflix, please tambahin fitur perbesar dan kecilin subtitle. Biar lebih ramah ke mata yang sudah mulai tua ini seperti aplikasi tetangga. Biar bisa nonton di hp lagi. Sekarang cuman bisa di TV. Terima kasih!"
132,kurniaone 610,1,2022-10-04 14:56:26,"Aplikasi tidak bisa di buka, sudah isi email dan sandi malah menungu dan menunggu, sampai sekarang tidak bisa di buka aplikasinya, apakah ini aplikasi SAMPAH ??"
133,rachman halim,1,2022-10-04 13:57:08,Udh g bisa di akses lagi Tiap login gagal terus
134,Mas Diya,4,2022-10-04 12:30:15,"Koleksinya memang bagus, tapi nonton film di sini harus hati2 karena belakangan ini banyak sekali film yg adegan2-nya secara tidak langsung mengkampanyekan LGBT, yg seperti itu jmlnya di netflix jauh lebih banyak dibanding film di penyedia layanan lainnya."
135,fajar setiawan,3,2022-10-04 11:10:47,"Harusnya ada pengaturan ""Subtitle Appreance"" di Indonesia, kurang baik."
136,Meyke Yusuf,1,2022-10-04 07:22:16,Ini aplikasi apaan sih...sudah daftar..sudah update tetap gk bisa di buka aplikasinya buat di pake nonton..di hapus aja..👎👎👎👎
137,Ika Mahayana (Gajah),5,2022-10-04 07:18:45,"Tidak dapat sign in lagi setelah log out. Tidak berjalan aplikasinya. Saya sudah instal ulang di HP, akan tetapi di smart TV tetap bisa hanya sering berhenti. Situs juga tidak bisa dibuka."
138,Ami' Mience,2,2022-10-04 03:54:38,Ini kenapa gak bisa dibuka sih aplikasinya 😡😡😡
139,eric ismadani,1,2022-10-03 14:54:27,"Padahal Subs sama bahasa nya udah gue buat bahasa Indonesia, tapi tetap aja pas mutar film ada yang bahasa Jepang, china, thailand, malah ada yang bahasa Spanyol. Udah aplikasi nya bayar, engga bagus lagi."
140,bedjo,5,2022-10-03 14:19:02,bayar mah ogah ah mending uninstal. duit mah beliin beras aja sama bensin. wkwkwk. tapi tetap saya kasih bintang lima. terimakasih
141,Rendy Setiawan,1,2022-10-03 02:00:34,Tolong untuk pihak Netflix: ketika ingin melakukan penagihan.. jangan lakukan 2 kali dalam 1 hari.. jika begini trus saldo di rekening saya bisa habis.. terima kasih
